date_heure,id_compteur,nb_passages
2025-01-01 16:00:00,100052600,5
2025-01-01 16:00:00,100052602,0
2025-01-01 16:00:00,100052603,2
2025-01-01 16:00:00,100052605,2
2025-01-01 16:00:00,100052606,4
2025-01-01 16:00:00,100053055,1
2025-01-01 16:00:00,100053059,2
2025-01-01 16:00:00,100053210,4
2025-01-01 16:00:00,100054073,0
2025-01-01 16:00:00,100055268,0
2025-01-01 16:00:00,100056188,11
2025-01-01 16:00:00,300014985,13
2025-01-01 16:00:00,300014986,12
2025-01-01 16:00:00,300014993,5
2025-01-01 16:00:00,300014994,3
2025-01-01 16:00:00,300014995,10
2025-01-01 16:00:00,300014996,10
2025-01-01 16:00:00,300020478,5
2025-01-01 16:00:00,300020679,12
2025-01-01 16:00:00,300020816,8
2025-01-01 16:00:00,300020817,10
2025-01-01 16:00:00,300021685,0
2025-01-01 16:00:00,300028650,3
2025-01-01 17:00:00,100001753,2
2025-01-01 17:00:00,100003032,9
2025-01-01 17:00:00,100003040,0
2025-01-01 17:00:00,100003041,6
2025-01-01 17:00:00,100003042,1
2025-01-01 17:00:00,100004575,0
2025-01-01 17:00:00,100007390,37
2025-01-01 17:00:00,100011747,2
2025-01-01 17:00:00,100011783,3
2025-01-01 17:00:00,100012217,14
2025-01-01 17:00:00,100012218,1
2025-01-01 17:00:00,100017441,8
2025-01-01 17:00:00,100017523,4
2025-01-01 17:00:00,100025474,10
2025-01-01 17:00:00,100035408,2
2025-01-01 17:00:00,100035409,0
2025-01-01 17:00:00,100041114,0
2025-01-01 17:00:00,100047030,3
2025-01-01 17:00:00,100052600,9
2025-01-01 17:00:00,100052602,1
2025-01-01 17:00:00,100052603,3
2025-01-01 17:00:00,100052605,0
2025-01-01 17:00:00,100052606,2
2025-01-01 17:00:00,100053055,0
2025-01-01 17:00:00,100053059,3
2025-01-01 17:00:00,100053210,1
2025-01-01 17:00:00,100054073,0
2025-01-01 17:00:00,100055268,5
2025-01-01 17:00:00,100056188,6
2025-01-01 17:00:00,300014985,9
